class,precision,recall,f1-score,support
TV,0.918918918918919,0.918918918918919,0.918918918918919,37.0
after,0.7575757575757576,0.7142857142857143,0.7352941176470589,35.0
airplane,0.9743589743589743,0.95,0.9620253164556962,40.0
all,0.8529411764705882,0.7435897435897436,0.7945205479452054,39.0
alligator,0.8974358974358975,0.8974358974358975,0.8974358974358975,39.0
animal,0.7948717948717948,0.8857142857142857,0.8378378378378378,35.0
another,0.775,0.8378378378378378,0.8051948051948052,37.0
any,0.7105263157894737,0.7714285714285715,0.7397260273972602,35.0
apple,0.9459459459459459,0.9459459459459459,0.9459459459459459,37.0
arm,0.8888888888888888,0.8888888888888888,0.8888888888888888,36.0
aunt,0.9230769230769231,0.9473684210526315,0.935064935064935,38.0
awake,0.5333333333333333,0.42105263157894735,0.47058823529411764,38.0
backyard,0.8125,0.7027027027027027,0.7536231884057971,37.0
bad,0.6739130434782609,0.8378378378378378,0.7469879518072289,37.0
balloon,0.9444444444444444,0.8717948717948718,0.9066666666666666,39.0
bath,0.8333333333333334,0.8823529411764706,0.8571428571428571,34.0
because,0.9473684210526315,0.9,0.9230769230769231,40.0
bed,0.75,0.8571428571428571,0.8,35.0
bedroom,0.78125,0.6578947368421053,0.7142857142857143,38.0
bee,0.8536585365853658,0.9459459459459459,0.8974358974358975,37.0
before,0.7666666666666667,0.6571428571428571,0.7076923076923077,35.0
beside,0.5862068965517241,0.5483870967741935,0.5666666666666667,31.0
better,0.8648648648648649,0.8888888888888888,0.8767123287671232,36.0
bird,0.8571428571428571,0.9,0.8780487804878049,40.0
black,0.972972972972973,0.9473684210526315,0.96,38.0
blow,0.918918918918919,0.8717948717948718,0.8947368421052632,39.0
blue,0.813953488372093,0.9722222222222222,0.8860759493670886,36.0
boat,0.9032258064516129,0.7567567567567568,0.8235294117647058,37.0
book,0.6666666666666666,0.7428571428571429,0.7027027027027027,35.0
boy,0.8409090909090909,0.9736842105263158,0.9024390243902439,38.0
brother,0.8780487804878049,0.9,0.8888888888888888,40.0
brown,1.0,0.95,0.9743589743589743,40.0
bug,0.9459459459459459,0.9210526315789473,0.9333333333333333,38.0
bye,0.8409090909090909,0.9024390243902439,0.8705882352941177,41.0
callonphone,1.0,0.972972972972973,0.9863013698630136,37.0
can,0.7352941176470589,0.6944444444444444,0.7142857142857143,36.0
car,0.8292682926829268,0.9444444444444444,0.8831168831168831,36.0
carrot,0.8717948717948718,0.8947368421052632,0.8831168831168831,38.0
cat,0.8235294117647058,0.717948717948718,0.7671232876712328,39.0
cereal,0.9393939393939394,0.8157894736842105,0.8732394366197183,38.0
chair,0.7555555555555555,0.918918918918919,0.8292682926829268,37.0
cheek,0.8461538461538461,0.8918918918918919,0.868421052631579,37.0
child,0.8064516129032258,0.7352941176470589,0.7692307692307693,34.0
chin,0.8823529411764706,0.9090909090909091,0.8955223880597015,33.0
chocolate,0.9444444444444444,0.918918918918919,0.9315068493150684,37.0
clean,0.6976744186046512,0.8823529411764706,0.7792207792207793,34.0
close,0.7878787878787878,0.7027027027027027,0.7428571428571429,37.0
closet,0.8918918918918919,0.8918918918918919,0.8918918918918919,37.0
cloud,0.8292682926829268,0.8947368421052632,0.8607594936708861,38.0
clown,0.9736842105263158,0.9487179487179487,0.961038961038961,39.0
cow,0.9444444444444444,0.85,0.8947368421052632,40.0
cowboy,0.8181818181818182,0.9473684210526315,0.8780487804878049,38.0
cry,0.8918918918918919,0.8461538461538461,0.868421052631579,39.0
cut,0.7741935483870968,0.6857142857142857,0.7272727272727273,35.0
cute,0.9230769230769231,0.972972972972973,0.9473684210526315,37.0
dad,0.9166666666666666,0.868421052631579,0.8918918918918919,38.0
dance,0.75,0.8709677419354839,0.8059701492537313,31.0
dirty,0.8095238095238095,0.9444444444444444,0.8717948717948718,36.0
dog,0.8157894736842105,0.8378378378378378,0.8266666666666667,37.0
doll,0.9285714285714286,0.975,0.9512195121951219,40.0
donkey,0.925,0.9487179487179487,0.9367088607594937,39.0
down,0.7368421052631579,0.875,0.8,32.0
drawer,0.9696969696969697,0.8888888888888888,0.927536231884058,36.0
drink,0.95,0.95,0.95,40.0
drop,0.8064516129032258,0.7352941176470589,0.7692307692307693,34.0
dry,0.8157894736842105,0.7948717948717948,0.8051948051948052,39.0
dryer,0.7560975609756098,0.8378378378378378,0.7948717948717948,37.0
duck,0.8333333333333334,0.8536585365853658,0.8433734939759037,41.0
ear,0.8048780487804879,0.8918918918918919,0.8461538461538461,37.0
elephant,0.8,0.7567567567567568,0.7777777777777778,37.0
empty,0.875,0.7777777777777778,0.8235294117647058,36.0
every,0.8292682926829268,0.918918918918919,0.8717948717948718,37.0
eye,0.9375,0.7692307692307693,0.8450704225352113,39.0
face,0.8275862068965517,0.6486486486486487,0.7272727272727273,37.0
fall,0.7441860465116279,0.8421052631578947,0.7901234567901234,38.0
farm,0.8421052631578947,0.8,0.8205128205128205,40.0
fast,0.8,0.7777777777777778,0.7887323943661971,36.0
feet,0.8235294117647058,0.7777777777777778,0.8,36.0
find,0.9,0.9,0.9,40.0
fine,0.7692307692307693,0.8571428571428571,0.8108108108108109,35.0
finger,0.8108108108108109,0.7894736842105263,0.8,38.0
finish,0.8717948717948718,0.8717948717948718,0.8717948717948718,39.0
fireman,0.9069767441860465,0.9512195121951219,0.9285714285714286,41.0
first,0.9487179487179487,0.925,0.9367088607594937,40.0
fish,0.7142857142857143,0.7894736842105263,0.75,38.0
flag,0.875,0.9210526315789473,0.8974358974358975,38.0
flower,0.9459459459459459,0.9210526315789473,0.9333333333333333,38.0
food,0.95,0.9743589743589743,0.9620253164556962,39.0
for,0.925,0.9736842105263158,0.9487179487179487,38.0
frenchfries,0.9166666666666666,0.8461538461538461,0.88,39.0
frog,0.9743589743589743,0.9743589743589743,0.9743589743589743,39.0
garbage,0.8947368421052632,0.918918918918919,0.9066666666666666,37.0
gift,0.775,0.8157894736842105,0.7948717948717948,38.0
giraffe,1.0,0.8108108108108109,0.8955223880597015,37.0
girl,0.8536585365853658,0.9210526315789473,0.8860759493670886,38.0
give,0.696969696969697,0.6764705882352942,0.6865671641791045,34.0
glasswindow,0.8157894736842105,0.7948717948717948,0.8051948051948052,39.0
go,0.7714285714285715,0.6923076923076923,0.7297297297297297,39.0
goose,0.75,0.75,0.75,40.0
grandma,0.7777777777777778,0.7368421052631579,0.7567567567567568,38.0
grandpa,0.8780487804878049,0.972972972972973,0.9230769230769231,37.0
grass,0.9428571428571428,0.868421052631579,0.9041095890410958,38.0
green,0.8604651162790697,0.9736842105263158,0.9135802469135802,38.0
gum,0.95,0.9743589743589743,0.9620253164556962,39.0
hair,1.0,0.8717948717948718,0.9315068493150684,39.0
happy,0.8378378378378378,0.8611111111111112,0.8493150684931506,36.0
hat,0.7837837837837838,0.8529411764705882,0.8169014084507042,34.0
hate,0.675,0.7714285714285715,0.72,35.0
have,0.8333333333333334,0.7352941176470589,0.78125,34.0
haveto,0.9310344827586207,0.7941176470588235,0.8571428571428571,34.0
head,0.8604651162790697,0.9736842105263158,0.9135802469135802,38.0
hear,0.8648648648648649,0.7804878048780488,0.8205128205128205,41.0
helicopter,0.96875,0.8378378378378378,0.8985507246376812,37.0
hello,0.8974358974358975,0.8974358974358975,0.8974358974358975,39.0
hen,0.8974358974358975,0.9210526315789473,0.9090909090909091,38.0
hesheit,0.8709677419354839,0.7941176470588235,0.8307692307692308,34.0
hide,0.9310344827586207,0.75,0.8307692307692308,36.0
high,0.9722222222222222,0.9459459459459459,0.958904109589041,37.0
home,0.9473684210526315,0.9230769230769231,0.935064935064935,39.0
horse,0.975,1.0,0.9873417721518988,39.0
hot,0.9230769230769231,0.9473684210526315,0.935064935064935,38.0
hungry,0.9210526315789473,0.8974358974358975,0.9090909090909091,39.0
icecream,0.9069767441860465,0.975,0.9397590361445783,40.0
if,0.9428571428571428,0.9166666666666666,0.9295774647887324,36.0
into,0.8,0.6666666666666666,0.7272727272727273,36.0
jacket,0.7692307692307693,0.8823529411764706,0.821917808219178,34.0
jeans,0.65,0.6842105263157895,0.6666666666666666,38.0
jump,0.7560975609756098,0.8157894736842105,0.7848101265822784,38.0
kiss,0.9,0.9,0.9,40.0
kitty,0.7441860465116279,0.8421052631578947,0.7901234567901234,38.0
lamp,0.8484848484848485,0.7567567567567568,0.8,37.0
later,0.8571428571428571,0.9473684210526315,0.9,38.0
like,0.9411764705882353,0.8421052631578947,0.8888888888888888,38.0
lion,0.9473684210526315,0.9473684210526315,0.9473684210526315,38.0
lips,0.8648648648648649,0.8,0.8311688311688312,40.0
listen,0.8974358974358975,0.875,0.8860759493670886,40.0
look,0.8611111111111112,0.7560975609756098,0.8051948051948052,41.0
loud,0.7674418604651163,0.8918918918918919,0.825,37.0
mad,0.9459459459459459,0.9210526315789473,0.9333333333333333,38.0
make,0.9459459459459459,0.875,0.9090909090909091,40.0
man,0.9,0.9230769230769231,0.9113924050632911,39.0
many,0.8444444444444444,1.0,0.9156626506024096,38.0
milk,0.9166666666666666,0.9166666666666666,0.9166666666666666,36.0
minemy,0.8888888888888888,0.8648648648648649,0.8767123287671232,37.0
mitten,0.9210526315789473,0.9722222222222222,0.9459459459459459,36.0
mom,0.8333333333333334,0.9210526315789473,0.875,38.0
moon,0.972972972972973,0.9473684210526315,0.96,38.0
morning,0.8285714285714286,0.7837837837837838,0.8055555555555556,37.0
mouse,0.8222222222222222,0.9024390243902439,0.8604651162790697,41.0
mouth,0.7209302325581395,0.8157894736842105,0.7654320987654321,38.0
nap,0.8709677419354839,0.7105263157894737,0.782608695652174,38.0
napkin,0.9230769230769231,0.9,0.9113924050632911,40.0
night,0.75,0.7941176470588235,0.7714285714285715,34.0
no,0.9655172413793104,0.7567567567567568,0.8484848484848485,37.0
noisy,0.7894736842105263,0.8571428571428571,0.821917808219178,35.0
nose,1.0,0.918918918918919,0.9577464788732394,37.0
not,0.8378378378378378,0.8378378378378378,0.8378378378378378,37.0
now,0.918918918918919,0.918918918918919,0.918918918918919,37.0
nuts,1.0,0.9024390243902439,0.9487179487179487,41.0
old,1.0,0.9230769230769231,0.96,39.0
on,0.6410256410256411,0.6944444444444444,0.6666666666666666,36.0
open,0.6875,0.6111111111111112,0.6470588235294118,36.0
orange,0.9024390243902439,0.9487179487179487,0.925,39.0
outside,0.8378378378378378,0.8157894736842105,0.8266666666666667,38.0
owie,0.9375,0.8333333333333334,0.8823529411764706,36.0
owl,0.972972972972973,0.9,0.935064935064935,40.0
pajamas,0.8157894736842105,0.7948717948717948,0.8051948051948052,39.0
pen,0.6818181818181818,0.75,0.7142857142857143,40.0
pencil,0.775,0.8157894736842105,0.7948717948717948,38.0
penny,0.85,0.8717948717948718,0.8607594936708861,39.0
person,0.7058823529411765,0.7741935483870968,0.7384615384615385,31.0
pig,0.8571428571428571,0.8571428571428571,0.8571428571428571,35.0
pizza,0.9487179487179487,0.925,0.9367088607594937,40.0
please,0.8372093023255814,0.9473684210526315,0.8888888888888888,38.0
police,0.9142857142857143,0.8421052631578947,0.8767123287671232,38.0
pool,0.7631578947368421,0.8055555555555556,0.7837837837837838,36.0
potty,0.8648648648648649,0.9142857142857143,0.8888888888888888,35.0
pretend,0.8974358974358975,0.875,0.8860759493670886,40.0
pretty,0.8717948717948718,0.8717948717948718,0.8717948717948718,39.0
puppy,0.6410256410256411,0.7142857142857143,0.6756756756756757,35.0
puzzle,0.8285714285714286,0.8529411764705882,0.8405797101449275,34.0
quiet,0.8571428571428571,0.8333333333333334,0.8450704225352113,36.0
radio,1.0,0.9743589743589743,0.987012987012987,39.0
rain,0.7804878048780488,0.8648648648648649,0.8205128205128205,37.0
read,0.8857142857142857,0.8857142857142857,0.8857142857142857,35.0
red,0.8611111111111112,0.8611111111111112,0.8611111111111112,36.0
