sample_index,true_class,pred_class,pred_confidence,true_confidence
8435,child,on,10.36693,1.9127879
7727,donkey,boy,10.211683,1.5925481
8775,cereal,weus,10.208797,2.8730295
8483,airplane,stairs,10.168207,0.21217625
7761,dog,later,9.81324,7.5046015
3778,scissors,cut,9.794431,3.6376302
700,face,look,9.793135,4.956871
3145,bedroom,bee,9.7383175,0.28226998
5278,feet,zipper,9.636933,4.3842783
7688,touch,clean,9.597919,0.0888899
3611,balloon,pretend,9.534879,1.0285347
9327,jacket,pajamas,9.469452,1.9190471
7413,feet,hesheit,9.445561,0.7756029
4374,bed,bee,9.438725,0.57951003
1172,airplane,tree,9.435304,1.8848884
3321,frog,TV,9.2860985,0.59172064
8005,wake,awake,9.243216,7.055828
1634,helicopter,rain,9.21346,2.6553957
7619,time,zipper,9.165489,2.4356596
7079,hate,person,9.154686,0.51261485
2767,aunt,backyard,9.137539,2.45639
3188,kitty,kiss,9.119002,0.974022
6558,red,lips,9.082645,2.181619
5068,after,fall,8.995922,0.5994203
4005,thankyou,bad,8.95969,1.6433243
3638,hesheit,hate,8.95025,0.30164504
6963,owie,car,8.940275,4.483783
8337,puppy,hide,8.932047,0.0040633157
6460,room,fish,8.925145,1.9622259
1028,think,head,8.905593,3.2042058
6777,child,on,8.8998575,1.559397
8341,yesterday,jump,8.8963785,2.7602634
6312,bye,bad,8.874192,2.745989
1155,yes,can,8.869445,4.6625137
8074,no,tree,8.865554,-0.100755714
4836,giraffe,dry,8.847398,0.85982
3737,yellow,toy,8.837682,2.3583572
267,thirsty,zipper,8.828962,2.001661
3423,hat,into,8.825809,0.6040225
6842,lion,rain,8.824977,-0.5086055
6431,say,lips,8.802662,1.7855393
2359,dry,dryer,8.801909,4.0397267
3452,room,bug,8.801039,0.7911307
1792,close,open,8.793246,4.381787
1010,have,loud,8.792659,-0.7064904
7216,gift,give,8.789783,4.683654
3726,toy,green,8.76706,3.983753
2875,chair,open,8.760795,-0.010996826
8576,cowboy,hello,8.751613,2.7905881
8517,cheek,say,8.74917,3.528161
5207,lips,mouth,8.721716,5.401973
8295,fast,hot,8.716503,1.620399
7602,sleepy,sleep,8.715463,4.5520906
7633,open,flag,8.709923,0.44790703
4011,wet,sleepy,8.702918,2.3317933
8500,finger,cereal,8.689709,1.7620504
5167,glasswindow,say,8.675421,4.0202217
7907,can,shoe,8.661022,5.697789
734,napkin,cute,8.656681,3.1706896
70,farm,on,8.640122,1.2237947
7317,pool,beside,8.636573,0.8984145
3676,nap,sleepy,8.631791,2.8331397
8331,bad,bed,8.630498,2.3828814
5896,pizza,jump,8.622231,1.5773785
5003,ride,tongue,8.621969,1.9659786
1932,cry,dance,8.611098,0.74730617
3153,boat,room,8.609946,1.7355026
5000,stairs,ride,8.599546,1.7323247
5312,go,down,8.590567,1.7035049
4118,arm,dance,8.590277,0.27091137
7715,grass,clean,8.587502,-1.3249685
5593,sun,lamp,8.5825205,2.5671062
5913,pool,jeans,8.578201,3.397623
6364,sleep,wolf,8.574905,1.1647043
2047,first,dog,8.566282,3.7810287
6881,kiss,food,8.551093,2.5363276
4542,think,down,8.548061,1.429837
5823,dry,time,8.53718,3.8649914
3465,cat,kitty,8.533818,4.7934914
9129,cow,cowboy,8.529146,5.554288
1839,sick,taste,8.518366,1.9039319
3138,finish,underwear,8.516889,0.5925888
2663,give,pretty,8.508931,-0.9925624
2616,look,ride,8.505654,1.2129258
3890,jump,lamp,8.503097,3.8063517
9139,drop,down,8.503048,3.3718612
8159,will,potty,8.496142,-0.380892
450,gift,give,8.491407,4.6673455
6916,cry,mom,8.477496,2.6159651
213,feet,zipper,8.470749,-1.1098568
457,nap,cut,8.4695835,4.039543
5182,later,up,8.452917,5.6438966
2242,morning,blue,8.446443,5.9462647
6236,face,look,8.421713,5.7338266
1297,shower,sun,8.415908,2.8734882
1474,tree,rain,8.414041,6.30971
1515,underwear,down,8.40917,-0.85703194
4668,go,toy,8.406963,2.3646398
5275,drawer,toy,8.401992,0.095172964
8622,tiger,cat,8.400459,0.7338576
7230,hear,ear,8.397203,3.3939474
7139,wake,awake,8.38714,5.6256766
724,dad,grandpa,8.380907,2.5929294
2751,yes,can,8.378819,3.8621027
4972,pencil,pen,8.362645,3.2299309
397,sleepy,sleep,8.359034,3.379486
9144,pen,pencil,8.353618,2.6366868
8187,any,fish,8.348284,1.2761009
4595,lips,mouth,8.347546,2.997564
1460,can,yes,8.340568,3.9872677
7814,like,please,8.337772,4.777824
8662,sleep,sleepy,8.333202,2.1447923
643,giraffe,animal,8.330423,1.5361447
2777,grandma,mom,8.324847,3.1204813
2233,giraffe,morning,8.323656,3.2365243
7485,goose,uncle,8.323043,0.12373325
2305,face,brother,8.317182,3.2503693
5353,feet,frenchfries,8.312815,2.5144613
175,into,night,8.307816,5.852536
430,time,not,8.303299,-0.74730563
7640,sticky,hate,8.30095,2.723555
5406,talk,bye,8.2998705,3.3278122
2466,all,pig,8.283568,2.5406473
8784,face,eye,8.279259,2.194489
994,beside,person,8.274871,6.016827
6614,ear,hear,8.270323,1.1312859
243,now,if,8.269237,2.0869505
5318,pen,potty,8.255509,5.010351
8441,wait,finish,8.251341,1.4026712
6278,high,see,8.244265,3.435431
1216,ride,any,8.23762,-2.4519207
834,dryer,dry,8.235687,3.425531
4428,close,rain,8.22937,-0.12514296
5148,jeans,pajamas,8.226459,2.948397
2482,jump,ride,8.223949,1.2044346
1593,duck,goose,8.218149,6.6389394
5990,shirt,noisy,8.216794,3.1943383
6541,bedroom,bed,8.206393,4.3642335
7819,sleep,sleepy,8.196836,7.329299
2639,happy,fish,8.191184,0.32587847
681,sleep,sleepy,8.191066,4.805611
8821,close,room,8.179752,3.055531
1580,bedroom,bed,8.177889,2.2103903
3773,room,zebra,8.1771345,-0.51763654
8973,tooth,glasswindow,8.175825,3.711484
6198,orange,blow,8.168667,0.5537468
3618,puppy,hat,8.167905,0.2224361
884,fast,every,8.16737,0.47764012
8534,wet,grandma,8.167282,2.6384268
7720,wake,awake,8.165749,6.2875495
6973,gift,give,8.164476,4.8269477
300,dryer,thankyou,8.163762,1.8215522
7125,into,elephant,8.162753,2.4169545
6147,person,blue,8.157729,2.2627473
2710,jacket,jeans,8.15545,1.6677446
377,bedroom,bed,8.153536,3.2200034
