class,per_class_accuracy
horse,1.0
many,1.0
where,1.0
shhh,0.975609756097561
icecream,0.975
uncle,0.975
doll,0.975
food,0.9743589743589743
gum,0.9743589743589743
frog,0.9743589743589743
radio,0.9743589743589743
zebra,0.9736842105263158
head,0.9736842105263158
green,0.9736842105263158
boy,0.9736842105263158
for,0.9736842105263158
cute,0.972972972972973
callonphone,0.972972972972973
grandpa,0.972972972972973
mitten,0.9722222222222222
blue,0.9722222222222222
fireman,0.9512195121951219
airplane,0.95
drink,0.95
brown,0.95
donkey,0.9487179487179487
clown,0.9487179487179487
talk,0.9487179487179487
up,0.9487179487179487
orange,0.9487179487179487
tiger,0.9487179487179487
lion,0.9473684210526315
moon,0.9473684210526315
please,0.9473684210526315
later,0.9473684210526315
cowboy,0.9473684210526315
black,0.9473684210526315
hot,0.9473684210526315
aunt,0.9473684210526315
store,0.9473684210526315
white,0.9459459459459459
apple,0.9459459459459459
high,0.9459459459459459
bee,0.9459459459459459
car,0.9444444444444444
dirty,0.9444444444444444
thirsty,0.9444444444444444
tongue,0.9444444444444444
first,0.925
yesterday,0.925
pizza,0.925
taste,0.9230769230769231
tomorrow,0.9230769230769231
home,0.9230769230769231
old,0.9230769230769231
man,0.9230769230769231
bug,0.9210526315789473
girl,0.9210526315789473
flag,0.9210526315789473
sick,0.9210526315789473
mom,0.9210526315789473
mad,0.9210526315789473
snack,0.9210526315789473
flower,0.9210526315789473
hen,0.9210526315789473
now,0.918918918918919
nose,0.918918918918919
chair,0.918918918918919
every,0.918918918918919
garbage,0.918918918918919
chocolate,0.918918918918919
TV,0.918918918918919
shower,0.918918918918919
if,0.9166666666666666
milk,0.9166666666666666
same,0.9166666666666666
thankyou,0.9142857142857143
potty,0.9142857142857143
chin,0.9090909090909091
nuts,0.9024390243902439
mouse,0.9024390243902439
bye,0.9024390243902439
bird,0.9
find,0.9
because,0.9
brother,0.9
kiss,0.9
napkin,0.9
owl,0.9
yourself,0.8974358974358975
